Year,Cereals - Excluding Beer,Vegetables,Starchy Roots,Vegetables - Other,Fruits - Excluding Wine,Sugar Crops,Sugar cane,Milk - Excluding Butter,Maize and products,Potatoes and products
2000,80878,66039,55273,52519,41681,67611,67007,24563,25407,23892
2001,82635,68472,54986,55066,41414,35552,34906,25252,26415,22471
2002,80817,70499,55557,56224,42224,14844,14336,26034,25120,21852
2003,81098,72516,57096,57703,43464,13001,12490,27239,26237,22055
2004,82639,72674,60739,56858,45531,12947,12400,28636,26578,24014
2005,82444,74560,61362,58165,46240,11856,11109,29534,25490,24660
2006,86274,76348,61464,60119,49555,13752,13277,30925,28156,23689
2007,88118,81326,62650,64228,51980,22061,21605,32031,29700,25405
2008,94256,83523,65262,66066,54857,54351,53737,32934,33178,25991
2009,95147,84852,65813,66504,56471,56979,56595,33573,31838,26722
2010,97854,87607,69388,68963,58604,62967,62618,35133,34070,27840
2011,101061,92399,78436,72798,60083,148052,147446,36445,34981,33952